VT("/I0/I17/I43<0>/InInt") (isig=3.5e-07) X,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-07) Y,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-08) X,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-08) Y,VT("/I0/I17/I43<0>/InInt") (isig=8.5e-08) X,VT("/I0/I17/I43<0>/InInt") (isig=8.5e-08) Y
1.190174823912608e-08,1.605535057462294e-06,1.45554920990543e-08,2.019741644992679e-06,1.299087000053615e-08,1.92670853098809e-06
1.19480853984959e-08,1.696431278515452e-06,1.466057996447519e-08,2.283506847351648e-06,1.305168623998837e-08,2.156618065417069e-06
1.199146561571581e-08,1.836270586926324e-06,1.475816380022128e-08,2.624434993121125e-06,1.310896570586232e-08,2.465417177703195e-06
1.203275776375606e-08,2.039473640391908e-06,1.484959994021692e-08,3.04869745457699e-06,1.316312080297567e-08,2.862565998187388e-06
1.207275805669588e-08,2.323787517049267e-06,1.493461825477244e-08,3.554400417633073e-06,1.321398826791055e-08,3.350709691466035e-06
1.211142493828789e-08,2.703455763411911e-06,1.501214312102916e-08,4.129132456464748e-06,1.326090320817558e-08,3.920462235659885e-06
1.214805415730668e-08,3.180621556993181e-06,1.50815723152656e-08,4.756248710224524e-06,1.330331720262143e-08,4.553453680409446e-06
1.218182991083646e-08,3.742540504039383e-06,1.514283631301322e-08,5.418370108230108e-06,1.334088606697554e-08,5.225075375552457e-06
1.221206180052187e-08,4.362594888266902e-06,1.519615622868718e-08,6.097197988684165e-06,1.33735590027547e-08,5.909034918011224e-06
1.22382430647822e-08,5.003438019222609e-06,1.524613597023001e-08,6.839246555372264e-06,1.340815737600413e-08,6.753500769809459e-06
1.226346220276202e-08,5.72630873829364e-06,1.532184621943475e-08,8.196062117245864e-06,1.344929281265392e-08,7.947037834350541e-06
1.229513770028099e-08,6.806270505512795e-06,1.538473875201103e-08,9.548328119669226e-06,1.349503898619565e-08,9.54890931385097e-06
1.232714885291375e-08,8.120131305700749e-06,1.545409338286511e-08,1.12672355573898e-05,1.354926874075296e-08,1.185258447481864e-05
1.236773866161133e-08,1.014941822307398e-05,1.552503368382137e-08,1.323931472169466e-05,1.359825135281906e-08,1.43164300553378e-05
1.240554689862949e-08,1.243175129336406e-05,1.559256187409692e-08,1.527516605489437e-05,1.364197704275013e-08,1.681351971999885e-05
1.243816221514052e-08,1.471415173786323e-05,1.565870550085064e-08,1.73754360991233e-05,1.368247292999588e-08,1.935869905310604e-05
1.246708901708011e-08,1.698061317594177e-05,1.572367770699134e-08,1.949750856288479e-05,1.371993508725283e-08,2.188016115133011e-05
1.249308910090991e-08,1.920466759281129e-05,1.578716292741128e-08,2.153329719854539e-05,1.374184138936073e-08,2.340589079508202e-05
1.25135519808993e-08,2.106938582642635e-05,1.582505850359621e-08,2.262591878852475e-05,1.376334689994883e-08,2.489239528817067e-05
1.253386487139087e-08,2.299519218011152e-05,1.586256957180824e-08,2.333261511230091e-05,1.378488153427383e-08,2.625035954697019e-05
1.255009467836736e-08,2.455085520809338e-05,1.589910111985444e-08,2.296966079598254e-05,1.381194662501023e-08,2.725744431109078e-05
1.257132215866936e-08,2.644692877276748e-05,1.594167944877419e-08,1.905062911018696e-05,1.38413283463209e-08,2.599949064734246e-05
1.259340599293507e-08,2.780855480342225e-05,1.598914564906196e-08,4.792493719788902e-06,1.388422016661072e-08,1.272773656009498e-05
1.261986783701461e-08,2.721225355909868e-05,1.605273219584652e-08,-4.760969253283496e-05,1.392091777558227e-08,-1.791501160854331e-05
1.265158347952253e-08,1.933841265746014e-05,1.611569007512123e-08,-0.0001590285679108774,1.395234053005837e-08,-6.553581228125464e-05
1.268004530085048e-08,8.213077705841047e-07,1.61660001022241e-08,-0.0003039288385051335,1.398479274937993e-08,-0.0001426490776896899
1.270803709140921e-08,-3.342136403387575e-05,1.621429494952103e-08,-0.0004978291237950427,1.402054026060807e-08,-0.0002674988416963479
1.273858714448459e-08,-9.549610661218946e-05,1.626556601051971e-08,-0.0007651301792275208,1.406211701962625e-08,-0.0004706833084820841
1.277354650214291e-08,-0.0002056676075756393,1.632308279941102e-08,-0.001133241736440914,1.410749859569028e-08,-0.0007631534203242886
1.281249818163045e-08,-0.0003835612209196535,1.639024609467128e-08,-0.001636500986931906,1.415342341303934e-08,-0.001124508389961574
1.285242305867583e-08,-0.0006271890339962493,1.646091199537958e-08,-0.002217110920011822,1.42016464992959e-08,-0.001559967890690643
1.289437778378389e-08,-0.0009445813502748363,1.653368687056224e-08,-0.002832178329302207,1.425408756124352e-08,-0.002073790606404397
1.293966731431949e-08,-0.001342424616131307,1.661189527878248e-08,-0.003469389039208613,1.43124897058733e-08,-0.00265989130699587
1.298977040166418e-08,-0.00182946080164337,1.669915016406341e-08,-0.004111673674267585,1.437674645031332e-08,-0.003288120533889722
1.304662449364124e-08,-0.002407398325631021,1.680025027003183e-08,-0.00472134518577613,1.445325254512476e-08,-0.003969827629944728
1.311273601778277e-08,-0.003071910617321605,1.690484174059196e-08,-0.005145999992331231,1.454146648986212e-08,-0.004632310565235266
1.319042792312683e-08,-0.003792156243762811,1.701059423299683e-08,-0.005195602265262791,1.464151244275653e-08,-0.005188541914957144
1.327668224502536e-08,-0.004476861821230219,1.715541542864501e-08,-0.003301687238351492,1.475778466729626e-08,-0.005473626890958022
1.33740898368137e-08,-0.005071026788319795,1.723658544888214e-08,0.000107580191797973,1.489034106735956e-08,-0.004641747030738695
1.348671256821931e-08,-0.00545752333841882,1.731978370043092e-08,0.007568831561991805,1.502028851284661e-08,0.0001011759846326326
1.361672714487893e-08,-0.005068032550790301,1.738991842774562e-08,0.01901393306702103,1.51145227539059e-08,0.009328508649144307
1.373510758951468e-08,-0.002378785204815706,1.744863449083182e-08,0.03392676665745907,1.518413291122349e-08,0.02177821105394364
1.384023904796273e-08,0.005007284648156174,1.750215059352783e-08,0.05346363143178976,1.524287943145926e-08,0.03797915121156302
1.391662648815524e-08,0.01598070563925748,1.754991543840296e-08,0.07763415757832055,1.529472428271322e-08,0.05841131576518966
1.397835896293528e-08,0.03033555209442248,1.759054132383521e-08,0.1055079362106039,1.534049469244139e-08,0.08323514839017197
1.403292263591645e-08,0.04889880628330388,1.762359253720277e-08,0.1356322829265278,1.537928435958403e-08,0.1116128008313065
1.408146303366313e-08,0.07192379734651255,1.765030545169053e-08,0.1670298681588204,1.541073028004605e-08,0.1420032602318183
1.412343293434576e-08,0.09898967245868008,1.767307716810098e-08,0.1995581064523128,1.543632994702071e-08,0.1736365258495458
1.415797370437923e-08,0.1287153853105271,1.769985130730675e-08,0.2432911234578238,1.545868112832991e-08,0.2066322772045691
1.418581030266608e-08,0.159843912499412,1.772454709220759e-08,0.288448059848421,1.549359115737914e-08,0.26615194076307
1.420913378628609e-08,0.1920998950239691,1.775740576156477e-08,0.3556684742894192,1.551962783810764e-08,0.3165670101524374
1.423283971198914e-08,0.2297815666256869,1.782312310027912e-08,0.5138801316420649,1.555904901652635e-08,0.402619808149271
1.425867172936779e-08,0.2757524895769966,1.788857830627629e-08,0.7006429544102485,1.563789137336376e-08,0.60801805455953
1.428749057663643e-08,0.3330200432286226,1.793621497053849e-08,0.8527062552110634,1.569379710648977e-08,0.7780895455808023
1.434512827117369e-08,0.4661349539540592,1.797680008171812e-08,0.9911403140215845,1.573665537612291e-08,0.9201843390000071
1.439516374086147e-08,0.6008473319309987,1.801336933158401e-08,1.121227138187266,1.577535357333613e-08,1.055455926720634
1.444594341489511e-08,0.7540493963548774,1.804732448943741e-08,1.244899497889503,1.581043515139477e-08,1.182169892869307
1.448992609102842e-08,0.898402350690932,1.808748190848276e-08,1.391653169718318,1.585236271093306e-08,1.335741137013095
1.452834652802383e-08,1.031752654779135,1.812390418142878e-08,1.520435234435989,1.589094752326314e-08,1.474888075773884
1.456385282840589e-08,1.159423868757944,1.815340716138504e-08,1.614286880824348,1.592336762498912e-08,1.583563817254507
1.460674250033374e-08,1.316375525133298,1.817521958879356e-08,1.671306566583973,1.594803408932378e-08,1.653626016475693
1.464610975352082e-08,1.458943033849394,1.819288183739424e-08,1.707013109599964,1.596662889515064e-08,1.695266543290688
1.467944809903322e-08,1.572237028241503,1.821154244571323e-08,1.734104825357053,1.598430338302252e-08,1.724666005738237
1.470517143656962e-08,1.647127180137305,1.823271283358405e-08,1.753752087407042,1.600741291760193e-08,1.749743759913865
1.472424365243528e-08,1.691183768614643,1.82543169158447e-08,1.765194725247921,1.603289417943063e-08,1.764864167760849
1.474176273744113e-08,1.721509525139533,1.827323926046696e-08,1.770645722475297,1.605218065463232e-08,1.770649017003389
1.476352370703361e-08,1.746695504617033,1.829253301484127e-08,1.77372709355767,1.607118099878191e-08,1.773724070085192
1.479162964258505e-08,1.764574812104938,1.831385254389641e-08,1.775649892572735,1.609195280333127e-08,1.775603099585418
1.481134537422837e-08,1.770645717080714,1.833896358492418e-08,1.777007726333824,1.611617131580364e-08,1.776917406848067
1.483018593508261e-08,1.773720127334982,1.837063002933983e-08,1.778170548247125,1.614690098177458e-08,1.778057257857277
1.485078948658133e-08,1.775586591621825,1.841316014151231e-08,1.779394999232161,1.618846578826084e-08,1.779270856665005
1.487458731771103e-08,1.77687722154108,1.847520684544664e-08,1.780903623263711,1.624951429198252e-08,1.780778600020807
1.49048380348843e-08,1.778002258269157,1.857691676791058e-08,1.782916947263146,1.634993497450531e-08,1.782799829795941
1.494589639773949e-08,1.77920809905916,1.872320533575205e-08,1.785072198208484,1.649434789504965e-08,1.784966144786684
1.500645265002752e-08,1.780715129959468,1.890010529864486e-08,1.786909637252077,1.666877545791811e-08,1.786814119000458
1.510644532209911e-08,1.782744333682232,1.912316056462318e-08,1.788503184196886,1.688787691091927e-08,1.788415144304296
1.525009794406758e-08,1.784917504642093,1.942293664102562e-08,1.78991197819791,1.718112779415054e-08,1.789831289872541
1.542339060461979e-08,1.786770173757148,1.974872943961048e-08,1.79089115558166,1.750582409594362e-08,1.790836737459657
1.564078879737377e-08,1.788375121525022,2.008701649569055e-08,1.791553487653567,1.784312019887355e-08,1.79151622161977
1.593111951245409e-08,1.789794465524,2.044358187907303e-08,1.792015959111869,1.819825480816708e-08,1.791989792387984
1.625525675459648e-08,1.790811774894527,2.082275142731261e-08,1.792343292730016,1.857572177510719e-08,1.79232481179869
1.659205095947371e-08,1.791499046579542,2.123252216391e-08,1.792576962832984,1.898312194160044e-08,1.792563787293005
1.694649602251397e-08,1.791977679835485,2.168209795535439e-08,1.792743840166689,1.942964586470887e-08,1.792734518482014
1.732316745507269e-08,1.792316230877524,2.218154675532836e-08,1.792861078928599,1.992529461125981e-08,1.792854627043681
1.772949014537957e-08,1.792557659335446,2.274331907810179e-08,1.792941071209712,2.048232795095594e-08,1.792936761705403
1.817464235397035e-08,1.792730178514818,2.338380227699347e-08,1.792993309435268,2.111682140088498e-08,1.792990579679217
1.866858879411526e-08,1.792851620178973,2.412591727366223e-08,1.793025358746974,2.185116128133198e-08,1.793023760703513
1.922350066863155e-08,1.792934750171414,2.500332460871417e-08,1.793043150382222,2.271811456494556e-08,1.793042322640105
1.985531139776475e-08,1.792989302222631,2.606799913003658e-08,1.793051566198863,2.376810122922917e-08,1.793051222192623
2.058616655299697e-08,1.793023009849023,2.740521625090283e-08,1.793054497552907,2.508348528116607e-08,1.793054419559952
2.144843861827008e-08,1.793041930974295,2.916629507475449e-08,1.793054701241785,2.680954480048547e-08,1.793054733029258
