Sensor,X0,Y0,TotalHits,MissingHits
2843,914.0,52.0,,
2897,954.0,52.0,,
2927,974.0,52.0,,
2957,994.0,52.0,,
23,1014.0,52.0,,
53,1034.0,52.0,,
83,1074.0,52.0,,
113,1094.0,52.0,,
143,1114.0,52.0,,
173,1134.0,52.0,,
227,1154.0,52.0,,
257,1174.0,52.0,,
287,1214.0,52.0,,
317,1234.0,52.0,,
347,1254.0,52.0,,
377,1274.0,52.0,,
407,1294.0,52.0,,
437,1314.0,52.0,,
467,1354.0,52.0,,
497,1374.0,52.0,,
527,1394.0,52.0,,
557,1414.0,52.0,,
587,1434.0,52.0,,
617,1474.0,52.0,,
647,1494.0,52.0,,
701,1514.0,52.0,,
731,1534.0,52.0,,
791,1554.0,52.0,,
821,1574.0,52.0,,
851,1614.0,52.0,,
881,1634.0,52.0,,
911,1654.0,52.0,,
941,1674.0,52.0,,
971,1694.0,52.0,,
1031,1754.0,52.0,,
1061,1774.0,52.0,,
1091,1794.0,52.0,,
1121,1814.0,52.0,,
1151,1834.0,52.0,,
1181,1874.0,52.0,,
1211,1894.0,52.0,,
1241,1914.0,52.0,,
1271,1934.0,52.0,,
1331,1954.0,52.0,,
1361,1974.0,52.0,,
1391,2014.0,52.0,,
1421,2034.0,52.0,,
1451,2054.0,52.0,,
1481,2074.0,52.0,,
1511,2094.0,52.0,,
1541,2134.0,52.0,,
1601,2154.0,52.0,,
1631,2174.0,52.0,,
1661,2194.0,52.0,,
1691,2214.0,52.0,,
1721,2234.0,52.0,,
1751,2274.0,52.0,,
1781,2294.0,52.0,,
1811,2314.0,52.0,,
1841,2334.0,52.0,,
1901,2354.0,52.0,,
1931,2374.0,52.0,,
766,154.0,72.0,,
1006,174.0,72.0,,
1306,194.0,72.0,,
1576,214.0,72.0,,
1876,234.0,72.0,,
1966,254.0,72.0,,
1996,294.0,72.0,,
2026,314.0,72.0,,
2056,334.0,72.0,,
2110,354.0,72.0,,
2140,374.0,72.0,,
2170,414.0,72.0,,
2200,434.0,72.0,,
2230,454.0,72.0,,
2260,474.0,72.0,,
2290,494.0,72.0,,
2320,514.0,72.0,,
2374,554.0,72.0,,
2404,574.0,72.0,,
2434,594.0,72.0,,
2464,614.0,72.0,,
2494,634.0,72.0,,
2524,694.0,72.0,,
2554,714.0,72.0,,
2584,734.0,72.0,,
2638,754.0,72.0,,
2668,774.0,72.0,,
2698,814.0,72.0,,
2728,834.0,72.0,,
2758,854.0,72.0,,
2788,874.0,72.0,,
2818,894.0,72.0,,
2848,914.0,72.0,,
2902,954.0,72.0,,
2932,974.0,72.0,,
2962,994.0,72.0,,
28,1014.0,72.0,,
58,1034.0,72.0,,
88,1074.0,72.0,,
118,1094.0,72.0,,
148,1114.0,72.0,,
178,1134.0,72.0,,
232,1154.0,72.0,,
262,1174.0,72.0,,
292,1214.0,72.0,,
322,1234.0,72.0,,
352,1254.0,72.0,,
382,1274.0,72.0,,
412,1294.0,72.0,,
442,1314.0,72.0,,
472,1354.0,72.0,,
502,1374.0,72.0,,
532,1394.0,72.0,,
562,1414.0,72.0,,
592,1434.0,72.0,,
622,1474.0,72.0,,
652,1494.0,72.0,,
706,1514.0,72.0,,
736,1534.0,72.0,,
796,1554.0,72.0,,
826,1574.0,72.0,,
856,1614.0,72.0,,
886,1634.0,72.0,,
916,1654.0,72.0,,
946,1674.0,72.0,,
976,1694.0,72.0,,
1036,1754.0,72.0,,
1066,1774.0,72.0,,
1096,1794.0,72.0,,
1126,1814.0,72.0,,
1156,1834.0,72.0,,
1186,1874.0,72.0,,
1216,1894.0,72.0,,
1246,1914.0,72.0,,
1276,1934.0,72.0,,
1336,1954.0,72.0,,
1366,1974.0,72.0,,
1396,2014.0,72.0,,
1426,2034.0,72.0,,
1456,2054.0,72.0,,
1486,2074.0,72.0,,
1516,2094.0,72.0,,
1546,2134.0,72.0,,
1606,2154.0,72.0,,
1636,2174.0,72.0,,
1666,2194.0,72.0,,
1696,2214.0,72.0,,
1726,2234.0,72.0,,
1756,2274.0,72.0,,
1786,2294.0,72.0,,
1816,2314.0,72.0,,
1846,2334.0,72.0,,
1906,2354.0,72.0,,
1936,2374.0,72.0,,
767,154.0,92.0,,
1007,174.0,92.0,,
1307,194.0,92.0,,
1577,214.0,92.0,,
1877,234.0,92.0,,
1967,254.0,92.0,,
1997,294.0,92.0,,
2027,314.0,92.0,,
2057,334.0,92.0,,
2111,354.0,92.0,,
2141,374.0,92.0,,
2171,414.0,92.0,,
2201,434.0,92.0,,
2231,454.0,92.0,,
2261,474.0,92.0,,
2291,494.0,92.0,,
2321,514.0,92.0,,
