,Rate,TotalHits,MissingHits,WithinPrevToT,Efficiency,ReadoutEfficiency,CPLow,CPHigh,RO_CPLow,RO_CPHigh
25,26.0,54769,7413,260,86.46497106027132,86.93969216162427,86.1756217601519,86.7504501572153,86.65461495455686,87.22084853053231
26,27.0,56493,8853,288,84.32903191545856,84.83882958950666,84.02661527009917,84.62791732985818,84.54041277137928,85.13366254689193
27,28.0,58947,10934,304,81.45113406958794,81.96685157853665,81.13496088084716,81.76420775876963,81.65406761400268,82.27648509616546
28,29.0,61243,13100,326,78.60980030370818,79.14210603660827,78.28286979551316,78.9340177025634,78.81813253869623,79.46331586090533
29,30.0,62846,14473,324,76.97069025872769,77.48623619641664,76.63948951809732,77.29939888426233,77.15762862669115,77.81230394924143
30,31.0,65260,16689,343,74.42690775360099,74.95249770150168,74.09034056226608,74.7613017330016,74.6181969243108,75.28457845989826
31,32.0,67407,18588,391,72.42422893764743,73.00428738855015,72.08516077394471,72.7613658370186,72.66742719566187,73.33916632183357
32,33.0,69477,20446,407,70.57155605452164,71.15736142896209,70.23111781734195,70.91027554218152,70.81889882782953,71.49405630721645
33,34.0,71368,22177,418,68.92584912005381,69.51154579083064,68.58484724435452,69.26531176416152,69.17230917620932,69.84919551648336
34,35.0,73876,24584,463,66.72261627592182,67.34934214088473,66.38150020960023,67.06241859370529,67.00983925472441,67.68748202481207
35,36.0,75743,26292,481,65.28788138837913,65.92292357049496,64.94761419121193,65.62697722460157,65.58411775263201,66.26050935652457
36,37.0,77802,28098,486,63.88524716588262,64.50990977095705,63.54657496512004,64.22288368969922,64.17251411698936,64.84622314493322
37,38.0,80035,30221,474,62.24026988192666,62.832510776535266,61.903346349194855,62.57630595733169,62.49662845081555,63.16746269837827
38,39.0,81924,32046,566,60.883257653434896,61.57414188760315,60.548092630136985,61.217651835344924,61.240042685417784,61.90742130784768
39,40.0,84437,34331,631,59.341284034250386,60.08858675699042,59.009063735157106,59.672862431146314,59.757339179682766,60.41914107497559
40,41.0,85737,35545,601,58.54181975109929,59.242800657825676,58.21118895605822,58.87187249468209,58.91299413553194,59.57198168733794
41,42.0,88440,38162,695,56.84984170058798,57.63568521031208,56.52263400787475,57.176600032223035,57.309209969289,57.96165953493823
42,43.0,90218,39827,647,55.85470748631094,56.57185927420249,55.529948038647746,56.17909043532337,56.247662827261244,56.89563310288428
43,44.0,92561,42071,751,54.547811713356595,55.35916854830869,54.226358478285405,54.86897990511166,55.038210279384,55.67979091926822
44,45.0,94368,43748,785,53.64106476771787,54.472914547304164,53.32226302213922,53.959642677534504,54.15451930060895,54.79103481915046
45,46.0,96833,46119,786,52.37264155814649,53.18434831100968,52.0574883796663,52.687652595077815,52.869455362548564,53.49905048936107
46,47.0,98633,47824,817,51.51318524226171,52.34150842010281,51.20074295133128,51.82553853667638,52.02924118355449,52.653637942924966
47,48.0,100848,49914,834,50.50571156592098,51.332698714897674,50.19662887890907,50.81476516397221,51.023686093105105,51.64163467867362
48,49.0,103538,52489,932,49.30460314087581,50.20475574185323,48.9996159998446,49.60962924143573,49.89971648297736,50.5097835293143
49,50.0,105303,54192,957,48.53707871570611,49.4458847326287,48.23478336936916,48.839454646948425,49.14345361447293,49.74834637415749
