Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
208,1,2,-8.8222,-3.1349,26.0445,0.4065,7,124,2,5201.0445,25.2843
209,1,2,-8.8974,-8.7735,26.261,0.3519,6,22,2,5226.261,25.2165
209,1,2,-5.3948,-9.8122,26.7766,0.2898,27,3,2,5226.7766,0.5156
212,1,1,-8.3263,5.8747,26.535,0.4973,10,288,2,5301.535,74.7584
216,1,2,-9.7674,0.8679,25.8425,0.2458,1,197,2,5400.8425,99.3075
217,1,1,-7.5137,-4.2521,26.0697,0.2076,15,104,2,5426.0697,25.2272
217,1,2,-7.4012,2.0347,26.3793,0.2451,15,218,2,5426.3793,0.3096
220,1,2,-7.7528,-2.4154,26.1919,0.2204,13,137,2,5501.1919,74.8126
221,1,1,-5.4483,-9.3592,26.0304,0.2025,27,11,2,5526.0304,24.8385
221,1,2,-8.7323,0.2917,26.0779,0.2057,7,187,2,5526.0779,0.0475
221,1,2,-5.587,-2.3946,26.3032,0.2542,26,138,2,5526.3032,0.2253
224,1,2,-7.1705,-2.6831,26.2188,0.2242,17,133,2,5601.2188,74.9156
224,1,2,-8.6854,2.5534,26.3509,0.2182,7,228,2,5601.3509,0.1321
225,1,2,-7.6552,6.7412,26.1812,0.2114,14,304,2,5626.1812,24.8303
225,1,2,-6.9457,-0.8744,26.1814,0.5452,18,165,2,5626.1814,0.0002
226,1,1,-9.9134,-2.535,26.0281,0.2514,0,135,2,5651.0281,24.8467
227,1,1,-7.3232,-8.4245,25.9085,0.2776,16,28,2,5675.9085,24.8804
234,1,2,-9.8247,-5.7867,25.9307,0.2898,1,76,2,5850.9307,175.0222
235,1,1,-6.9558,-7.1592,26.0849,0.2382,18,51,2,5876.0849,25.1542
236,1,2,-6.0184,0.9021,26.0594,0.4607,24,198,2,5901.0594,24.9745
239,1,2,-7.4529,4.3115,26.2235,0.2104,15,260,2,5976.2235,75.1641
240,1,2,-7.0778,-7.2128,26.091,0.2032,17,50,2,6001.091,24.8675
241,1,1,-9.1177,-0.1988,26.1878,1.4427,5,178,2,6026.1878,25.0968
243,1,2,-8.306,6.8262,25.9654,0.2347,10,305,2,6075.9654,49.7776
243,1,1,-5.3118,-4.2255,26.0476,0.2114,28,104,2,6076.0476,0.0822
243,1,1,-8.0546,6.8334,26.2689,0.2384,11,306,2,6076.2689,0.2213
244,1,2,-6.7769,3.7865,26.1559,0.3709,19,250,2,6101.1559,24.887
244,1,2,-6.3059,-7.4507,26.1718,0.3383,22,46,2,6101.1718,0.0159
244,1,1,-9.3946,-8.121,26.4006,0.2422,3,34,2,6101.4006,0.2288
245,1,1,-6.6069,-6.8619,26.6168,0.2629,20,57,2,6126.6168,25.2162
246,1,1,-7.3518,-7.8492,26.5104,0.5294,16,39,2,6151.5104,24.8936
249,1,2,-9.228,2.0403,26.1802,0.3299,4,218,2,6226.1802,74.6698
251,1,2,-9.5117,-0.2906,26.2677,0.246,2,176,2,6276.2677,50.0875
254,1,1,-8.4086,-7.5033,26.2018,0.208,9,45,2,6351.2018,74.9341
257,1,1,-5.328,6.1749,31.1273,1.8285,28,294,2,6431.1273,79.9255
259,1,1,-8.1361,-2.2592,26.0029,0.2666,11,140,2,6476.0029,44.8756
259,1,2,-5.6284,4.7869,26.0839,0.5179,26,268,2,6476.0839,0.081
260,1,2,-8.0927,-0.6176,26.2036,0.7233,11,170,2,6501.2036,25.1197
263,1,1,-9.0703,-0.1655,26.0608,0.2325,5,178,2,6576.0608,74.8572
263,1,1,-8.1898,4.289,26.3259,0.2324,10,259,2,6576.3259,0.2651
264,1,1,-9.4716,-5.7818,25.782,0.523,3,76,2,6600.782,24.4561
264,1,2,-6.0409,-6.441,26.1448,0.2264,23,64,2,6601.1448,0.3628
265,1,1,-8.456,6.3548,26.4214,0.3112,9,297,2,6626.4214,25.2766
266,1,1,-5.8781,2.4426,26.3308,0.2473,24,226,2,6651.3308,24.9094
267,1,1,-8.8996,-1.2681,26.3553,0.2495,6,158,2,6676.3553,25.0245
268,1,2,-5.3344,2.7776,26.2923,0.1851,28,232,2,6701.2923,24.937
268,1,2,-7.7476,-7.1255,26.2976,0.2522,13,52,2,6701.2976,0.0053
270,1,1,-5.7415,-8.9598,25.8897,0.2034,25,18,2,6750.8897,49.5921
270,1,2,-5.3849,-7.4658,26.2595,0.708,27,46,2,6751.2595,0.3698
270,1,2,-8.6561,-9.2897,26.2841,0.2316,8,12,2,6751.2841,0.0246
271,1,2,-6.4726,1.0098,26.3061,0.2209,21,200,2,6776.3061,25.022
273,1,1,-5.5313,6.6042,25.978,0.2103,27,301,2,6825.978,49.6719
274,1,2,-7.2202,-5.5163,26.1901,0.2264,16,81,2,6851.1901,25.2121
274,1,2,-7.1636,-5.5361,26.1901,0.2388,17,81,2,6851.1901,0.0
275,1,1,-6.8797,-4.6684,26.7095,0.2396,18,96,2,6876.7095,25.5194
275,1,1,-9.8685,3.6214,26.8757,0.3185,0,247,2,6876.8757,0.1662
276,1,1,-8.713,-8.4881,31.836,0.2815,7,27,2,6906.836,29.9603
281,1,2,-8.099,0.1271,26.1099,0.2448,11,184,2,7026.1099,119.2739
284,1,1,-9.1604,-1.6748,33.1651,0.6651,5,151,2,7108.1651,82.0552
285,1,1,-8.1542,2.5587,26.195,0.4174,11,228,2,7126.195,18.0299
286,1,2,-8.1591,-5.878,26.0979,0.2214,11,74,2,7151.0979,24.9029
287,1,2,-9.5092,6.5757,26.0547,0.2172,2,301,2,7176.0547,24.9568
288,1,2,-8.1967,1.7162,26.1488,0.2227,10,213,2,7201.1488,25.0941
290,1,2,-6.3903,0.4449,26.0214,0.2445,21,189,2,7251.0214,49.8726
290,1,1,-7.2055,-3.4838,26.2436,0.3787,16,118,2,7251.2436,0.2222
290,1,2,-9.4369,1.5871,26.2712,0.2462,3,210,2,7251.2712,0.0276
295,1,1,-6.5541,4.2019,26.3163,0.2245,20,258,2,7376.3163,125.0451
296,1,1,-9.7146,-2.8633,26.6344,0.3293,1,129,2,7401.6344,25.3181
299,1,2,-8.7009,6.4849,25.933,0.2419,7,299,2,7475.933,74.2986
299,1,2,-9.6991,-2.143,26.1045,0.2028,1,142,2,7476.1045,0.1715
300,1,2,-7.6906,-2.035,26.3561,0.2235,13,144,2,7501.3561,25.2516
305,1,1,-5.9912,-3.4987,26.1777,0.2228,24,118,2,7626.1777,124.8216
306,1,1,-9.4687,6.4521,28.2674,2.7403,3,299,2,7653.2674,27.0897
308,1,2,-8.4558,0.3671,25.9417,0.2426,9,188,2,7700.9417,47.6743
308,1,2,-9.6369,1.5296,26.1841,0.2154,2,209,2,7701.1841,0.2424
308,1,2,-8.9447,-6.1625,26.2893,0.2189,6,69,2,7701.2893,0.1052
311,1,2,-6.5244,5.2775,26.0003,0.2064,21,277,2,7776.0003,74.711
312,1,2,-8.7415,-6.2594,26.1301,0.2428,7,68,2,7801.1301,25.1298
316,1,1,-8.4075,-8.0315,25.8424,0.2365,9,35,2,7900.8424,99.7123
316,1,2,-8.0117,-4.3612,26.0436,0.0107,12,102,2,7901.0436,0.2012
318,1,2,-9.1922,-4.6839,26.3034,0.2246,4,96,2,7951.3034,50.2598
318,1,1,-9.0036,5.9193,26.3876,0.2251,6,289,2,7951.3876,0.0842
318,1,1,-6.4852,-1.4141,26.7002,0.3126,21,156,2,7951.7002,0.3126
319,1,1,-9.6378,-8.0851,26.1711,0.3283,2,34,2,7976.1711,24.4709
323,1,1,-9.747,-8.3668,26.2543,0.0632,1,29,2,8076.2543,100.0832
325,1,1,-7.0036,-4.0402,26.432,4.3451,18,108,2,8126.432,50.1777
326,1,1,-6.4218,7.344,26.0871,0.2137,21,315,2,8151.0871,24.6551
326,1,2,-6.0492,-5.9425,26.1236,0.2473,23,73,2,8151.1236,0.0365
330,1,2,-9.3138,-9.5397,25.9664,0.2431,4,8,2,8250.9664,99.8428
332,1,2,-7.5247,-7.2962,26.1159,0.2134,15,49,2,8301.1159,50.1495
335,1,1,-9.7559,-5.3162,26.0783,0.371,1,85,2,8376.0783,74.9624
336,1,2,-7.724,4.9206,26.5595,0.2254,13,271,2,8401.5595,25.4812
337,1,1,-9.7622,-5.9294,25.9643,0.2277,1,74,2,8425.9643,24.4048
338,1,1,-8.8004,-0.5555,26.2335,0.2564,7,171,2,8451.2335,25.2692
340,1,1,-7.5571,-6.7156,25.7937,0.238,14,59,2,8500.7937,49.5602
340,1,2,-8.1748,-7.4931,26.3368,0.1871,11,45,2,8501.3368,0.5431
341,1,1,-9.5105,6.1853,26.0822,0.2139,2,294,2,8526.0822,24.7454
342,1,1,-7.3124,-1.4078,26.0148,0.2087,16,156,2,8551.0148,24.9326
345,1,2,-5.9444,6.0496,26.4204,0.2251,24,291,2,8626.4204,75.4056
346,1,2,-7.7943,-7.2012,26.0741,0.2222,13,50,2,8651.0741,24.6537
346,1,1,-8.2773,-3.7644,26.2613,0.2192,10,113,2,8651.2613,0.1872
347,1,1,-9.1976,1.4263,26.4334,1.1,4,207,2,8676.4334,25.1721
348,1,1,-9.3939,-7.1049,26.0776,0.3176,3,52,2,8701.0776,24.6442
349,1,2,-5.9266,-5.5917,26.003,0.1743,24,80,2,8726.003,24.9254
349,1,2,-5.8386,-5.5905,26.0073,0.0028,25,80,2,8726.0073,0.0043
349,1,1,-6.4922,-2.3556,26.1108,0.2246,21,138,2,8726.1108,0.1035
351,1,1,-8.3513,-2.4697,25.8124,0.2073,9,136,2,8775.8124,49.7016
350,1,1,-6.1493,7.5938,73.3703,2.079,23,319,2,8798.3703,22.5579
357,1,1,-5.829,-4.1524,26.1558,0.2098,25,106,2,8926.1558,127.7855
359,1,1,-9.1882,-0.6085,25.9964,0.2744,4,170,2,8975.9964,49.8406
360,1,1,-7.5034,3.99,26.4053,0.0638,15,254,2,9001.4053,25.4089
360,1,1,-7.5034,3.99,26.4053,0.0831,15,254,2,9001.4053,0.0
361,1,1,-9.7577,4.8162,26.2446,0.3533,1,269,2,9026.2446,24.8393
367,1,1,-5.723,-5.6233,26.0626,0.2074,25,79,2,9176.0626,149.818
368,1,2,-5.8143,-7.7053,25.9677,0.2617,25,41,2,9200.9677,24.9051
369,1,1,-5.423,-5.4617,25.7995,0.2235,27,82,2,9225.7995,24.8318
369,1,2,-5.6868,-9.2131,26.1354,0.2685,26,14,2,9226.1354,0.3359
370,1,2,-6.039,-9.9579,26.0417,0.4609,24,0,2,9251.0417,24.9063
370,1,2,-9.2779,2.1481,26.1577,0.254,4,220,2,9251.1577,0.116
371,1,2,-9.6955,-1.8719,25.9434,0.2495,1,147,2,9275.9434,24.7857
372,1,1,-6.4454,-3.271,26.0659,0.2994,21,122,2,9301.0659,25.1225
377,1,2,-9.4606,5.937,26.0029,0.23,3,289,2,9426.0029,124.937
382,1,1,-9.0127,-9.6904,25.9088,0.2391,5,5,2,9550.9088,124.9059
382,1,2,-5.3751,-1.2322,26.394,0.3368,28,159,2,9551.394,0.4852
384,1,2,-8.9385,0.1495,26.4394,0.2555,6,184,2,9601.4394,50.0454
385,1,1,-9.3676,-2.7177,26.0091,0.2009,3,132,2,9626.0091,24.5697
