Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
69,1,2,-8.1958,-5.6784,25.6586,0.2054,10,78,5,1725.6586,24.2567
69,1,2,-9.8221,-0.7007,26.1964,0.2404,1,169,5,1726.1964,0.5378
70,1,2,-6.7931,-2.0047,26.0324,0.2228,19,145,5,1751.0324,24.836
72,1,3,-6.425,7.503,25.8005,0.0884,21,318,5,1800.8005,49.7681
73,1,2,-8.4394,4.0177,26.2195,0.2137,9,254,5,1826.2195,25.419
74,1,1,-5.8812,-8.8377,26.0331,0.2226,24,21,5,1851.0331,24.8136
75,1,3,-5.544,1.1774,26.3543,0.2503,27,203,5,1876.3543,25.3212
77,1,3,-6.1223,3.545,25.9423,0.2574,23,246,5,1925.9423,49.588
79,1,3,-7.3549,2.4037,26.0676,0.1997,16,225,5,1976.0676,50.1253
79,1,3,-8.5926,7.5868,26.2888,0.1845,8,319,5,1976.2888,0.2212
80,1,2,-9.33,-6.214,26.0952,0.2297,4,68,5,2001.0952,24.8064
80,1,2,-5.6089,6.1869,26.2992,0.2887,26,294,5,2001.2992,0.204
81,1,2,-8.4538,-0.4761,25.9736,0.3479,9,173,5,2025.9736,24.6744
81,1,2,-6.2688,-4.2303,26.21,0.2234,22,104,5,2026.21,0.2364
81,1,2,-9.012,-0.4976,26.2348,0.242,5,172,5,2026.2348,0.0248
81,1,1,-7.4628,-8.9998,28.5727,0.2497,15,18,5,2028.5727,2.3379
81,1,2,-7.1384,5.5519,30.9462,0.3006,17,282,5,2030.9462,2.3735
83,1,1,-6.047,-5.2744,26.2088,0.2025,23,85,5,2076.2088,45.2626
85,1,3,-9.5808,-7.1679,25.9642,0.3445,2,51,5,2125.9642,49.7554
85,1,3,-7.9633,4.0889,26.4224,0.2259,12,256,5,2126.4224,0.4582
86,1,2,-7.4096,-8.0757,26.0071,0.343,15,34,5,2151.0071,24.5847
86,1,1,-6.5147,-0.1089,26.3247,0.2316,21,179,5,2151.3247,0.3176
88,1,1,-8.6017,-5.7189,26.0715,0.7491,8,77,5,2201.0715,49.7468
88,1,1,-8.7417,-7.5963,26.2522,0.2678,7,43,5,2201.2522,0.1807
90,1,1,-7.448,1.1148,26.0709,0.2748,15,202,5,2251.0709,49.8187
90,1,3,-9.3325,1.0861,26.081,0.238,4,201,5,2251.081,0.0101
92,1,2,-5.4955,6.2554,26.302,0.2003,27,295,5,2301.302,50.221
93,1,3,-8.5517,7.2789,25.8052,0.2185,8,314,5,2325.8052,24.5032
93,1,3,-8.8949,-3.4925,25.8907,0.2166,6,118,5,2325.8907,0.0855
94,1,1,-8.0114,0.5546,25.9859,0.3495,12,191,5,2350.9859,25.0952
94,1,2,-9.3819,-6.6613,26.182,0.3484,3,60,5,2351.182,0.1961
97,1,3,-8.5817,2.7964,26.0181,0.286,8,232,5,2426.0181,74.8361
97,1,3,-9.4488,-8.2613,26.1749,0.2117,3,31,5,2426.1749,0.1568
99,1,3,-9.994,-2.2187,26.1501,0.2774,0,141,5,2476.1501,49.9752
100,1,1,-7.5664,-2.7898,26.0886,0.243,14,131,5,2501.0886,24.9385
100,1,2,-7.6289,6.9675,26.3347,0.2411,14,308,5,2501.3347,0.2461
101,1,2,-9.4928,-7.5718,25.9219,0.2882,3,44,5,2525.9219,24.5872
101,1,1,-8.6541,7.0839,26.1515,0.2869,8,310,5,2526.1515,0.2296
102,1,2,-9.6076,2.6644,26.1621,0.2329,2,230,5,2551.1621,25.0106
103,1,2,-7.2606,-4.7808,25.9903,0.2169,16,94,5,2575.9903,24.8282
103,1,1,-8.0267,-8.0142,26.2621,0.2225,11,36,5,2576.2621,0.2718
104,1,3,-6.4288,-1.5632,25.9418,0.2219,21,153,5,2600.9418,24.6797
104,1,3,-8.7296,5.9915,26.0112,0.1992,7,290,5,2601.0112,0.0694
105,1,1,-6.8005,-0.0014,25.7951,0.117,19,181,5,2625.7951,24.7839
105,1,1,-6.7363,-0.0008,25.7974,0.1072,19,181,5,2625.7974,0.0023
105,1,3,-7.5845,0.1683,26.0101,0.2291,14,184,5,2626.0101,0.2127
105,1,3,-7.8589,0.2571,26.0101,0.1111,12,186,5,2626.0101,0.0
105,1,1,-5.613,0.1541,26.0499,0.2059,26,184,5,2626.0499,0.0398
106,1,1,-7.8626,5.324,26.0378,0.2336,12,278,5,2651.0378,24.9879
107,1,1,-9.8049,3.1362,26.1567,0.2888,1,238,5,2676.1567,25.1189
