Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
147,1,1,-5.3575,-3.0157,29.6042,0.1569,28,126,5,3679.6042,1.1108
149,1,1,-8.7136,-6.2509,26.8535,0.5405,7,68,5,3726.8535,47.2493
149,1,1,-7.2476,7.4725,29.4951,1.5288,16,317,5,3729.4951,2.6416
150,1,1,-7.6061,-3.6362,29.5493,1.8301,14,115,5,3754.5493,25.0542
151,1,1,-7.957,-3.1415,29.838,1.1589,12,124,5,3779.838,25.2887
152,1,1,-9.1656,-0.9999,27.7563,1.1696,5,163,5,3802.7563,22.9183
153,1,1,-7.1869,-4.8399,29.5597,0.771,17,93,5,3829.5597,26.8034
159,1,1,-6.8194,-5.065,28.1208,1.1831,19,89,5,3978.1208,148.5611
160,1,1,-7.1927,6.0586,27.9299,1.6781,17,291,5,4002.9299,24.8091
161,1,1,-8.3889,6.6332,27.9486,1.2278,9,302,5,4027.9486,25.0187
161,1,1,-7.35,-9.3474,28.6435,1.1754,16,11,5,4028.6435,0.6949
162,1,1,-5.4717,1.3546,28.6894,0.4613,27,206,5,4053.6894,25.0459
163,1,1,-5.5777,-3.5312,26.9982,1.1059,26,117,5,4076.9982,23.3088
163,1,1,-9.8954,-7.5418,28.44,0.9808,0,44,5,4078.44,1.4418
167,1,1,-9.8803,0.6514,26.3082,1.2254,0,193,5,4176.3082,97.8682
167,1,1,-9.3286,-0.6082,26.5567,1.814,4,170,5,4176.5567,0.2485
167,1,1,-5.5969,-3.9982,27.7116,1.2953,26,109,5,4177.7116,1.1549
169,1,1,-5.6098,2.6097,28.7065,0.4369,26,229,5,4228.7065,50.9949
170,1,1,-8.1635,1.0396,30.5027,0.3742,11,200,5,4255.5027,26.7962
173,1,1,-7.165,1.3965,29.8098,1.9149,17,207,5,4329.8098,74.3071
174,1,1,-5.9758,-7.9923,26.7981,0.361,24,36,5,4351.7981,21.9883
174,1,1,-7.1099,0.5346,30.158,0.9593,17,191,5,4355.158,3.3599
175,1,1,-8.5034,-3.2132,28.3214,1.8121,9,123,5,4378.3214,23.1634
177,1,1,-6.0927,7.3935,28.6157,0.9114,23,316,5,4428.6157,50.2943
179,1,1,-6.3816,-3.5213,30.4043,1.5985,21,117,5,4480.4043,51.7886
180,1,1,-6.7272,5.0978,30.8569,1.5209,19,274,5,4505.8569,25.4526
183,1,1,-7.3296,-7.7216,29.7189,1.8081,16,41,5,4579.7189,73.862
184,1,1,-8.208,-1.7357,27.7513,0.1892,10,150,5,4602.7513,23.0324
185,1,1,-7.3917,1.5284,28.1045,1.5384,15,209,5,4628.1045,25.3532
186,1,1,-6.9632,-1.3757,26.4512,0.1634,18,156,5,4651.4512,23.3467
189,1,1,-8.7986,-8.2226,30.2833,1.8647,7,32,5,4730.2833,78.8321
190,1,1,-8.7154,0.4913,28.8544,0.5737,7,190,5,4753.8544,23.5711
190,1,1,-9.4021,-1.6736,29.0055,0.5527,3,151,5,4754.0055,0.1511
192,1,1,-6.2617,-2.3831,26.7948,1.6066,22,138,5,4801.7948,47.7893
194,1,1,-5.4963,3.0528,29.765,0.3447,27,237,5,4854.765,52.9702
195,1,1,-6.2021,-5.3433,28.364,1.971,23,84,5,4878.364,23.599
197,1,1,-7.3985,7.2422,27.1017,1.1726,15,313,5,4927.1017,48.7377
200,1,1,-7.2367,-2.2032,30.5122,1.6645,16,141,5,5005.5122,78.4105
201,1,1,-5.7687,3.1978,30.2219,1.1794,25,239,5,5030.2219,24.7097
202,1,1,-8.3345,-6.6061,27.8297,0.7056,10,61,5,5052.8297,22.6078
203,1,1,-7.56,3.3559,27.6881,0.2967,14,242,5,5077.6881,24.8584
206,1,1,-6.8901,-3.4113,29.2124,0.2798,18,119,5,5154.2124,76.5243
207,1,1,-8.7658,-0.382,30.2424,0.9545,7,174,5,5180.2424,26.03
209,1,1,-6.9044,-1.7537,30.5899,0.7791,18,149,5,5230.5899,50.3475
210,1,1,-7.1756,0.906,28.5491,1.6086,17,198,5,5253.5491,22.9592
212,1,1,-5.7506,-1.3791,29.3454,0.4471,25,156,5,5304.3454,50.7963
214,1,1,-6.4822,-0.9213,27.2721,1.8563,21,165,5,5352.2721,47.9267
214,1,1,-9.3633,2.2346,28.4134,0.2683,3,222,5,5353.4134,1.1413
217,1,1,-9.6292,-0.3626,29.9475,0.9823,2,175,5,5429.9475,76.5341
220,1,1,-8.5725,-7.0773,30.2843,1.2297,8,53,5,5505.2843,75.3368
221,1,1,-7.9486,-8.4244,27.7655,1.8379,12,28,5,5527.7655,22.4812
223,1,1,-6.9884,-8.1835,27.2479,1.8718,18,33,5,5577.2479,49.4824
224,1,1,-8.703,-5.6234,26.4707,0.9887,7,79,5,5601.4707,24.2228
224,1,1,-8.9364,-7.6503,30.8743,1.8664,6,42,5,5605.8743,4.4036
225,1,1,-8.5412,7.1099,27.0052,0.8144,8,311,5,5627.0052,21.1309
226,1,1,-6.2318,6.0685,30.3037,1.7291,22,292,5,5655.3037,28.2985
231,1,1,-8.5926,0.543,27.732,0.4939,8,191,5,5777.732,122.4283
231,1,1,-8.5516,-5.2018,28.2753,1.2006,8,87,5,5778.2753,0.5433
232,1,1,-8.2054,-6.3083,29.2593,1.6104,10,67,5,5804.2593,25.984
238,1,1,-7.6623,-5.5906,26.1336,0.1974,14,80,5,5951.1336,146.8743
239,1,1,-7.2532,2.1364,28.6725,1.9507,16,220,5,5978.6725,27.5389
240,1,1,-8.6063,-8.5082,30.9868,0.1624,8,27,5,6005.9868,27.3143
243,1,1,-9.4757,-2.8223,26.1052,0.5221,3,130,5,6076.1052,70.1184
244,1,1,-9.303,-9.4359,28.9502,1.6682,4,10,5,6103.9502,27.845
244,1,1,-9.7002,-3.1367,30.8236,0.5219,1,124,5,6105.8236,1.8734
245,1,1,-9.9121,-7.4412,29.2894,1.4019,0,46,5,6129.2894,23.4658
248,1,1,-9.1985,-5.9448,28.5289,0.1097,4,73,5,6203.5289,74.2395
