#Simulation runs: 5000-5100
#Sensor Centre Position : x0 = 146 	y0 = 12
#Sensor Dimensions : width (x edge-to-edge) = 20 	height (y edge-to-edge) = 20
#All distances in units of mm
#Quadrant Definition: (x,y) : (+,+) := Quad 1 	(-,+) := Quad 2 	(-,-) := Quad 3 	(+,-) := Quad 4.
#Assumed symmetry: The corresponding sensor in each quadrant has been reflected (x,y)->(x_sym,y_sym)=(|x|,|y|) into Quad 1 (or the Quadrant containing (x0,y0)) before taking local coordinates (x_sym-x0,y_sym-y0) to obtain 4-fold increase in statistics.
#Note that where symmetry has been exploited	the original quadrant is specified for each entry	allowing original whole-detector spatial coordinates (x,y) to be reconstructed.
#The unique event number identifies a distinct event (in a distinct run) in the simulation.
#Energy: Energy deposited by the particle generating the hit as it traverses the SciFi composite material. Units of MeV.
#Time: Time of flight	with start at p-p collision within bunch (not the time of bunch centre). Units of ns.
#unq_evt_num	layer	Quadrant	x_sym-x0	y_sym-y0	t_coll	energy
3	4	2	1.5309	-3.6886	29.1275	0.3390
3	2	3	2.1816	2.5012	26.8518	0.1595
3	3	3	8.7289	3.3157	28.4260	0.8121
3	2	3	2.1816	2.5012	26.8518	0.1646
3	1	1	1.1976	4.1217	26.2255	0.2630
3	2	1	-7.6631	-5.7484	26.8652	0.2105
3	1	2	6.9359	0.5437	26.4162	0.2287
3	4	4	-3.9657	-3.6774	28.8499	0.2260
3	5	4	3.3527	-3.2184	30.4352	0.2111
3	6	4	6.4810	-3.0223	31.1350	0.2637
3	5	1	6.3235	-8.7045	30.8464	0.6237
3	3	4	1.2220	-3.1789	28.5534	0.2615
3	5	4	4.8232	3.5152	30.8368	0.2101
3	5	4	5.3661	-6.3437	30.8454	0.2584
3	1	4	-3.6018	5.6621	26.7529	0.2667
3	2	4	1.4562	-2.2811	36.7959	0.2728
3	4	2	-2.8210	-4.0676	30.7203	0.2587
3	2	2	-6.5606	-2.5504	26.7801	0.2417
3	3	2	6.2847	-1.9867	28.3558	0.2604
3	3	3	-8.0408	7.1352	28.4650	0.2953
3	4	3	2.5816	7.1274	29.1657	0.1987
3	6	3	2.6598	-5.8326	31.4499	0.2276
3	6	2	5.6633	-6.1028	31.4412	0.2956
3	2	3	6.4430	1.3007	27.0182	0.5646
3	3	3	-7.7543	-1.4574	28.3884	0.2078
3	4	3	-6.3936	-1.1493	29.0882	0.2144
3	5	3	-3.8109	-0.3570	30.6734	0.3166
3	6	3	-2.8626	0.0117	31.3732	0.2890
3	1	3	-5.7270	5.2785	26.1251	0.3256
4	2	2	-4.1726	8.7654	26.6579	0.2193
4	6	3	-3.5266	-1.1356	31.2204	0.6104
4	4	1	9.9776	-1.5124	31.1048	0.3803
4	6	3	-2.2058	3.2008	31.2274	0.2320
4	2	4	-8.8266	-7.7461	26.9706	0.6395
4	6	1	3.3698	1.9377	31.4385	0.2061
4	1	2	8.3586	6.7082	26.3129	0.2150
4	3	4	-7.8264	7.6166	28.4700	0.2627
4	4	4	-1.3292	8.1314	29.1703	0.2562
4	1	2	-6.4283	-3.5177	26.4397	0.2212
4	1	2	6.1377	0.4095	26.0657	0.2081
4	1	3	-4.8373	-3.2214	26.1933	0.2621
4	2	3	0.0819	0.7972	26.8961	0.2098
4	1	3	-4.5375	-5.1269	26.1930	0.6727
4	2	2	-4.6867	-4.2979	26.6940	0.2282
4	5	2	-2.7760	-3.2539	30.5281	0.2755
4	6	2	2.9876	-3.0793	31.2282	0.1948
4	1	3	3.4186	-6.3167	25.9703	0.2030
4	2	3	9.4666	-6.1719	26.6704	0.2748
4	2	1	1.2308	-9.0202	26.5184	0.2794
4	1	3	-5.8023	5.0873	26.1472	0.2980
4	6	2	9.8114	0.3512	31.2886	0.2073
4	2	1	1.0285	-8.9338	26.5184	0.1923
4	5	1	-2.5913	-1.4959	30.8752	0.2136
4	6	4	0.5909	-4.0058	31.5891	0.2671
4	6	1	4.2980	5.1768	31.5769	0.2860
4	2	3	-7.5207	4.8793	26.9638	0.2022
4	2	3	7.0223	5.3656	26.6017	0.2377
4	4	3	6.6040	-8.2458	28.9475	0.3432
4	6	4	-8.0051	-2.7312	31.4086	0.2858
4	5	4	7.9277	7.7410	30.5506	0.2596
4	3	3	9.9507	-7.0673	28.3429	1.0770
4	1	3	-1.2684	1.5688	25.9977	0.2148
4	1	2	-2.6059	-7.5431	25.9966	0.2618
4	3	2	-3.2500	1.2166	28.4945	0.2932
4	6	4	-7.3934	7.3737	31.5325	0.2211
4	5	2	6.7087	-7.5742	30.8288	0.2588
4	3	1	-8.1570	9.1663	28.3800	0.2155
4	4	1	4.2263	9.5921	29.0811	0.3041
4	1	1	-4.2872	8.6428	26.1094	0.2373
4	1	3	8.1719	-6.0800	25.9243	0.2466
4	1	2	9.7835	1.2209	26.3355	0.2822
4	2	3	-5.8776	-0.1878	26.7390	0.2486
4	3	2	-6.3712	-9.5557	28.2428	0.2361
4	4	2	-0.1308	-9.4838	28.9429	0.2637
4	3	4	-7.0866	7.9440	28.5081	0.2234
4	4	4	0.3034	8.7325	29.2084	0.2522
4	2	3	9.4851	3.0355	27.1796	0.2282
4	2	3	9.8297	3.1137	27.1797	0.2325
4	4	3	-0.2907	6.9109	29.4732	0.2581
4	4	3	-0.2177	6.9241	29.4771	0.0240
4	6	1	-8.5708	-5.7316	31.7614	0.3429
4	5	3	-8.8176	-1.4141	30.5241	0.2472
4	1	1	6.7416	-2.3945	26.1912	0.3224
4	1	1	2.6057	-4.1222	26.1903	0.2391
4	1	1	0.7749	-4.9449	26.1850	0.3656
4	1	1	-3.0024	-1.9687	26.1845	0.2541
4	1	1	6.3604	-6.2640	26.1908	0.2610
4	1	1	6.7438	8.9545	26.1984	0.3068
4	1	1	0.3382	-3.1768	26.1843	0.2382
4	2	4	9.7975	-9.6975	26.8869	0.2443
4	1	1	2.2451	-1.1369	26.1849	0.2217
4	1	2	-1.9923	8.4404	26.2850	0.3575
4	5	2	-6.7044	3.9150	30.7743	0.2653
4	5	2	-6.7010	3.9089	30.7743	0.3620
4	6	3	-0.7122	-2.0513	31.4420	0.2196
4	6	3	-1.4176	-4.5101	31.4426	0.2645
4	5	1	9.2751	-6.3714	30.4711	0.3273
4	5	4	-2.3356	-2.8456	30.8828	0.2133
4	6	4	5.2389	-2.6147	31.5832	0.1992
4	4	1	-6.4687	-5.7829	29.3801	3.1205
4	2	3	-8.7894	3.2708	26.7658	0.2339
4	3	3	9.1175	4.1160	28.3420	0.2565
5	1	2	6.8555	-7.5939	28.2225	0.0481
5	1	2	1.9886	-4.9540	26.0687	0.0473
5	1	2	2.0025	-4.9537	26.0697	0.2590
5	6	3	-9.7290	7.6613	31.5303	0.2422
5	3	4	-7.3492	-1.5942	28.5985	0.3068
5	4	4	-1.6515	-1.3707	29.2986	0.2028
5	6	3	-5.5198	-1.8477	31.5914	0.2341
5	1	1	1.3904	-4.1629	26.4412	0.2953
5	2	4	-0.4864	-6.2366	27.0667	0.2534
5	1	3	-4.9248	1.4671	25.8852	0.2262
5	5	4	-4.7802	-8.4631	30.4253	0.3545
5	1	1	7.8918	-0.6310	26.4255	0.2495
5	4	3	9.6781	-2.2517	30.2255	1.0451
5	6	3	5.8183	-7.9181	31.3526	0.2464
5	1	1	-1.8072	9.7759	26.1989	0.2336
5	6	3	0.9606	-1.4239	31.3847	0.2731
5	6	2	0.6427	0.6926	31.3694	0.3344
5	4	2	0.1816	9.0383	29.0851	0.2429
5	4	2	-3.0348	9.9955	29.0850	0.1925
5	5	3	5.3037	-5.4454	30.6748	0.3252
5	6	2	-5.4674	-8.5339	31.3698	0.2896
5	6	3	-1.0110	2.6450	31.3712	0.1229
5	4	2	-9.8623	-7.5382	29.0849	0.2216
5	5	2	3.9087	-7.3676	30.6706	0.6958
5	4	1	-6.5749	-9.4340	30.1259	0.2607
5	3	2	-0.4905	-7.1169	28.3108	0.2956
5	6	3	3.8622	-9.3049	31.3729	1.1878
5	6	3	0.8136	-5.2848	31.3692	0.2753
5	6	3	6.5318	-5.0441	31.3695	0.7014
5	6	2	9.8053	-8.2824	31.4149	0.3493
5	1	3	-2.3715	-6.6652	26.1201	0.8260
5	1	3	-2.1563	-7.7501	26.1212	0.3896
5	4	4	-9.0825	2.4743	29.0374	0.2914
5	3	4	-8.6755	-4.9281	28.3566	0.2224
5	3	3	-0.8527	2.2717	28.5128	0.2514
5	4	3	6.9837	2.7290	29.2131	0.2106
5	1	1	-6.7152	-1.5550	26.6222	0.6857
5	2	2	-7.9496	-8.6681	26.9136	0.0930
5	2	2	-7.9496	-8.6681	26.9136	0.1247
5	5	2	-4.6600	-7.7443	31.0584	0.4362
5	6	1	-7.9749	-4.1725	31.2521	0.4169
5	6	3	9.8862	-5.9905	31.5423	0.2586
5	4	2	-5.4376	9.9252	28.9175	0.2373
5	2	4	5.9782	-7.8418	26.7329	0.2153
5	2	4	1.8139	-8.0958	26.7324	0.2348
5	6	1	-6.1407	7.8223	31.2873	0.5282
5	6	4	-7.5729	5.1796	31.5421	0.4555
6	1	2	-1.8526	8.8529	26.0287	0.2311
6	2	2	9.3351	9.6974	26.7295	0.4937
6	1	4	3.9481	7.0275	26.1151	0.2596
6	1	2	0.0998	-3.9169	26.0996	0.3605
6	4	1	-8.6266	-1.0258	29.0831	0.2066
6	6	3	3.1422	-6.0234	31.4454	0.3405
6	4	1	-2.1987	-7.5018	29.0878	0.2426
6	1	1	-8.1025	0.7098	25.8927	0.3020
6	2	1	-8.2947	1.0430	26.5925	0.2384
6	3	1	-9.0423	1.7585	28.1676	0.2575
6	4	1	-9.4714	2.0841	28.8675	0.2539
6	3	4	-3.9287	2.2318	28.3913	0.2162
